id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y,
912,tt2538222,me estás matando susana,me estás matando susana,2016,19/08/2016,"comedy, drama, romance",100,"mexico, usa, canada","english, spanish",roberto sneider,"josé agustín, luis cámara",cuévano films,"gael garcía bernal, verónica echegui, ashley hinshaw, jadyn wong, björn hlynur haraldsson, adam hurtig, andrés almeida, tristan carlucci, barbara garrick, daniel giménez cacho, gabino rodríguez, ilse salas, julian sedgwick, maite suarez diez, gordon tanner","""me estas matando susana"" takes us on eligio's quest to find and recover his wife, susana, who without a word, left mexico city behind for a writer's conference held in the chilly u.s. heartland.",6.5,1507,,,$ 1391292,50,3,25,"gael garcía bernal, verónica echegui, ashley hinsha","w, jadyn wong, björn hlynur haraldsson, adam hurtig, andrés almeida, tristan carlucci, barbara garrick, daniel giménez cacho, gabino rodríguez, ilse salas, julian sedgwick, maite suarez diez, gordo",n tanner
913,tt2543164,arrival,arrival,2016,10/11/2016,"drama, mystery, sci-fi",116,"usa, canada, india","english, russian, mandarin",denis villeneuve,"eric heisserer, ted chiang",lava bear films,"amy adams, jeremy renner, forest whitaker, michael stuhlbarg, mark o'brien, tzi ma, abigail pniowsky, julia scarlett dan, jadyn malone, frank schorpion, lucas chartier-dessert, christian jadah, lucy van oldenbarneveld, andrew shaver, pat kiely",a linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,7.9,536659,$ 47000000,$ 100546139,$ 203388186,81,1734,708,"amy adams, jeremy renner, forest whitaker, michael","stuhlbarg, mark o'brien, tzi ma, abigail pniowsky, julia scarlett dan, jadyn malone, frank schorpion, lucas chartier-dessert, christian jadah, lucy van oldenbarneveld, andrew shaver, pat kiely",
914,tt2545384,home,home,2016,01/03/2016,"drama, horror, thriller",87,usa,english,frank lin,"jeff lam, frank lin",a & d studios,"heather langenkamp, samantha mumba, kerry knuppe, alessandra shelby farmer, aaron hill, lew temple, alison dahlstrom, lou glenn, oto brezina","carrie, a young religious fundamentalist, is abandoned by her missionary father and has to move in with her mother, who came out of the closet and married another woman. not only that, but ...",3.9,318,,,,,7,14,"heather langenkamp, samantha mumba, kerry knu","ppe, alessandra shelby farmer, aaron hill, lew temple, alison dahlstrom, lou glenn, oto brezina",
915,tt2545538,hollow creek,hollow creek,2016,01/02/2016,"crime, horror, mystery",116,usa,english,guisela moro,"guisela moro, steve daron",newfoundland films,"steve daron, guisela moro, burt reynolds, david ausem, tony reichert, alyn darnay, steve alberts, demia aliff, sharon bleau, anthony boggs, mark brooks, blaine burdette, earleen carey, karen chimato, hannah cope","""seeking inspiration for his latest horror novel blake blackman, a writer from new york, retreats to a remote cabin in the appalachian mountains. he is secretly accompanied by his lover ...",4.2,560,$ 500000,,,,15,11,"steve daron, guisela moro, burt reynolds, david ausem",", tony reichert, alyn darnay, steve alberts, demia aliff, sharon bleau, anthony boggs, mark brooks, blaine burdette, earleen carey, karen chimato, hannah cope",
916,tt2547584,the light between oceans,the light between oceans,2016,01/11/2016,"drama, romance",133,"uk, new zealand, usa, india",english,derek cianfrance,"derek cianfrance, m.l. stedman",heyday films,"michael fassbender, alicia vikander, rachel weisz, florence clery, jack thompson, thomas unger, jane menelaus, garry mcdonald, anthony hayes, benedict hardie, emily barclay, bryan brown, stephen ure, peter mccauley, leon ford",a lighthouse keeper and his wife living off the coast of western australia raise a baby they rescue from a drifting rowing boat.,7.2,47844,$ 20000000,$ 12545979,$ 25975621,60,160,254,"michael fassbender, alicia vikander, rachel weisz, fl","orence clery, jack thompson, thomas unger, jane menelaus, garry mcdonald, anthony hayes, benedict hardie, emily barclay, bryan brown, stephen ure, peter mccauley, leon ford",
917,tt2554842,girl in woods,girl in woods,2016,03/06/2016,"drama, horror, thriller",87,usa,english,jeremy benson,jeremy benson,giw,"charisma carpenter, juliet reeves london, jeremy london, lee perkins, john still, shaun benson, rezia massey, lauren bayleigh white, ross williams",after a tragic accident grace is lost and alone in the smoky mountains. grace's struggle for survival is made more complicated by her troubled past. battling the demons in her mind may be the only way to come out alive.,3.3,447,,,,,6,21,"charisma carpenter, juliet reeves london, jeremy lon","don, lee perkins, john still, shaun benson, rezia massey, lauren bayleigh white, ross williams",
918,tt2556114,gernika,gernika,2016,09/09/2016,"drama, history, romance",110,"spain, usa","spanish, english, german, basque",koldo serra,"barney cohen, carlos clavijo cobos",pecado films,"james d'arcy, maría valverde, jack davenport, ingrid garcía jonsson, álex garcía, bárbara goenaga, burn gorman, joachim paul assböck, markus oberhauser, víctor clavijo, julián villagrán, irene escolar, jon ariño, elena irureta, hugo silva","the fates of henry - a cynical american correspondent who has lost his soul - and teresa, one of the republic's censors and in charge of overseeing the news that journalists can send abroad, cross in gernika.",5.8,1950,eur 5800000,,$ 396764,,8,21,"james d'arcy, maría valverde, jack davenport, ingrid ga","rcía jonsson, álex garcía, bárbara goenaga, burn gorman, joachim paul assböck, markus oberhauser, víctor clavijo, julián villagrán, irene escolar, jon ariño, elena irureta, hugo silva",
919,tt2556676,blowtorch,blowtorch,2016,07/02/2017,"crime, drama, thriller",80,usa,english,kevin breslin,"kevin breslin, rosemary breslin",breslin media,"lois robbins, jared abrahamson, armand assante, william baldwin, paul ben-victor, deirdre brennan, victoria cartagena, olivia cella, teddy coluca, jed rave de asis, medgie desir, alex emanuel, jack falahee, alison fraser, franky g","blowtorch is the brooklyn story of ann willis, a recently widowed and financially struggling, mother of three. when her oldest son is murdered, she inexorably takes the investigation into her own hands.",4.2,171,$ 4000000,,,,1,1,"lois robbins, jared abrahamson, armand assante, w","illiam baldwin, paul ben-victor, deirdre brennan, victoria cartagena, olivia cella, teddy coluca, jed rave de asis, medgie desir, alex emanuel, jack falahee, alison fraser, franky g",
920,tt2558996,dead billy,dead billy,2016,14/10/2016,"drama, horror, mystery",127,usa,english,scotty milder,"lauren chavez-myers, scotty milder",redefine entertainment,"john hardy, lauren chavez-myers, frank taylor green, cynthia derby, amelia ampuero, chad brummett, amy baklini, gordon clapp, vanessa alexandra, lionel archuleta, paul blott, john bustamante, katie becker colón, zach dulin, elizabeth dwyer",graduate student calliope girard's orderly life is thrown into chaos by unexplained seizures that unlock buried memories of a violent past.,4.1,104,,,,,3,2,"john hardy, lauren chavez-myers, frank taylor green",", cynthia derby, amelia ampuero, chad brummett, amy baklini, gordon clapp, vanessa alexandra, lionel archuleta, paul blott, john bustamante, katie becker colón, zach dulin, elizabeth dwyer",
921,tt2565974,razors: the return of jack the ripper,razors: the return of jack the ripper,2016,08/05/2017,"fantasy, horror, mystery",88,uk,english,"ian powell, karl ward","ian powell, karl ward",magic mask pictures limited,"kelby keenan, thomas thoroe, josh myers, ian weichardt, jack brown, voda wong, georgia maguire, andrew shire, vincent de paul, khan bonfils, iulia benze, adam englander, evie rose carricker, anthony styles, jessamine sargent","the first installment in an exciting new horror franchise. a young writer believes she has discovered the holy grail of terror, the knives used by jack the ripper for his notorious murders.",2.4,172,eur 656000,,,,6,5,"kelby keenan, thomas thoroe, josh myers, ian weich","ardt, jack brown, voda wong, georgia maguire, andrew shire, vincent de paul, khan bonfils, iulia benze, adam englander, evie rose carricker, anthony styles, jessamine sargent",
