id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,,lead_actors,y
20,tt0989000,in search of a midnight kiss,in search of a midnight kiss,2007,13/06/2008,"comedy, romance",90,usa,english,alex holdridge,alex holdridge,midnight kiss productions (ii),"scoot mcnairy, sara simmonds, brian mcguire, kathleen luong, robert murphy, twink caplan, bret roberts, ann chatterton, cindy drummond, giorgio pierangeli, michael pierangeli, bruce jay, stephanie feury, julie levin-pierangeli, kennedy rich-collins","broke and alone on new year's eve, wilson just wants to spend the rest of a very bad year in bed. but, when his best friend convinces him to post a personal ad, he meets a woman bent on finding the right guy to be with at midnight.",7.2,7773,$ 25000,$ 172605,$ 1294176,64,47,86,,"scoot mcnairy, sara simmonds, brian mcguire, kathl","een luong, robert murphy, twink caplan, bret roberts, ann chatterton, cindy drummond, giorgio pierangeli, michael pierangeli, bruce jay, stephanie feury, julie levin-pierangeli, kennedy rich-collins"
21,tt0989603,42plus,42plus,2007,13/04/2007,"drama, romance",92,austria,"german, italian",sabine derflinger,"mogens rukov, sabine derflinger",dor film produktionsgesellschaft,"claudia michelsen, ulrich tukur, tobias moretti, petra morzé, vanessa krüger, jacob matschenz, miriam fiordeponti, mario giordano, stefanie dvorak, ugo conti, michele oliveri, antonella alfano, fosca democrito, elena guerrini, ferdinando mazzella",successful and attractive christine is married to the equally profession oriented georg. they have a teenage child sonja whom is beginning to break away from the parental nest. everything ...,5.5,140,,,$ 173914,,1,13,,"claudia michelsen, ulrich tukur, tobias moretti, p","etra morzé, vanessa krüger, jacob matschenz, miriam fiordeponti, mario giordano, stefanie dvorak, ugo conti, michele oliveri, antonella alfano, fosca democrito, elena guerrini, ferdinando mazzella"
22,tt0989622,the bodyguard 2,the bodyguard 2,2007,08/03/2007,"action, comedy",95,thailand,"thai, french",petchtai wongkamlao,petchtai wongkamlao,baa-ram-ewe,"petchtai wongkamlao, jacqueline apitananon, janet khiew, surachai sombutchareon, sushin kuan-saghaun, garrett brawith, erich fleshman, philip hersh, choosak iamsook, tony jaa, simon kook, pongsak pongsuwan, jonathan samson, ron smoorenburg, saisin wongkhamlao","the best agent of vieng, the country near the boundary of thailand received the important mission that he had to catch two armed dealers who could be the dangerous for his country.",5.4,914,thb 100000000,,$ 2849046,,3,4,,"petchtai wongkamlao, jacqueline apitananon, jane","t khiew, surachai sombutchareon, sushin kuan-saghaun, garrett brawith, erich fleshman, philip hersh, choosak iamsook, tony jaa, simon kook, pongsak pongsuwan, jonathan samson, ron smoorenburg, saisin wongkhamlao"
23,tt0989654,hau mo chu,hau mo chu,2007,15/03/2007,horror,89,hong kong,cantonese,man kei chin,koon-nam lui,basic pictures,"macy chan, steven cheung, tien you chui, kelly fu, theresa fu, amanda lee, toby leung, yat-long li, dennis mak, suet-sum tse, wai-ho yuen","the narranmoda boarding school is strict for girls and has rigid rules of behavior, but the headmaster accepts four male students to improve the income of the school. however, the boys are ...",4.1,193,,,$ 374285,,6,3,,"macy chan, steven cheung, tien you chui, kelly fu",", theresa fu, amanda lee, toby leung, yat-long li, dennis mak, suet-sum tse, wai-ho yuen"
24,tt0989725,undertrial,undertrial,2007,09/02/2007,"crime, drama",142,india,hindi,aziz khan,"nazim hassan rizvi, aadesh k. arjun",nh studioz,"rajpal yadav, monica castelino, prem chopra, pratima kazmi, kader khan, rajiv kumar, firdosh mewawala, rajesh puri, sunil rege, sambhavna sheth, mukesh tiwari",sagar hussain lives a poor lifestyle in india. he relocates to mumbai in order to better his prospects and finds work at a factory that only hires male employees. on his first day at work ...,6.6,204,,,$ 70015,,3,2,,"rajpal yadav, monica castelino, prem chopra, pratim","a kazmi, kader khan, rajiv kumar, firdosh mewawala, rajesh puri, sunil rege, sambhavna sheth, mukesh tiwari"
25,tt0989851,ouija,ouija,2007,25/07/2007,"drama, horror, mystery",95,philippines,"filipino, tagalog",topel lee,"aloy adlawan, annette gozon",gma films,"judy ann santos, jolina magdangal, iza calzado, rhian ramos, desiree del valle, jc de vera, valerie concepcion, perla bautista, anita linda, ruby rodriguez, jackie lou blanco, angelo ilagan, nanding josef, ilonah villanueva, jean villanueva","half-sisters aileen and romina, along with first cousins ruth and sandra, reunite in camiguin to bury their grandmother. accompanied by sandra's friend, lucy, the five girls dare to call on...",4.7,177,,,$ 2111595,,6,3,,"judy ann santos, jolina magdangal, iza calzado, rhia","n ramos, desiree del valle, jc de vera, valerie concepcion, perla bautista, anita linda, ruby rodriguez, jackie lou blanco, angelo ilagan, nanding josef, ilonah villanueva, jean villanueva"
26,tt0990361,la chambre des morts,la chambre des morts,2007,14/11/2007,"crime, mystery, thriller",115,france,french,alfred lot,"alfred lot, franck thilliez",produire à paris,"mélanie laurent, éric caravaca, gilles lellouche, jonathan zaccaï, laurence côte, céline sallette, fanny cottençon, nathalie richard, jean-françois stévenin, stéphane jobert, antoine oppenheim, alexandre carrière, jean-pierre gos, delphine benattard, jacques herlin",two unemployed computer technicians discover 2 million euros next to a dead body in a field of windmills.,6.3,1589,,,$ 1120993,,8,11,,"mélanie laurent, éric caravaca, gilles lellouche, jon","athan zaccaï, laurence côte, céline sallette, fanny cottençon, nathalie richard, jean-françois stévenin, stéphane jobert, antoine oppenheim, alexandre carrière, jean-pierre gos, delphine benattard, jacques herlin"
27,tt0990366,a grande família: o filme,a grande família: o filme,2007,26/01/2007,comedy,104,brazil,portuguese,maurício farias,"guel arraes, cláudio paiva",europa filmes,"marco nanini, marieta severo, pedro cardoso, andrea beltrão, guta stresser, lúcio mauro filho, tonico pereira, marcos oliveira, dira paes, paulo betti, wagner santisteban, keli freitas, gillray coutinho, celso bernini, rui resende","for forty years, the public functionary and family man lineu and his beloved wife nenê celebrate their first date going to the same ball where lineu borrowed the jacket his competitor ...",5.6,671,,,$ 7544972,,2,2,,"marco nanini, marieta severo, pedro cardoso, andrea b","eltrão, guta stresser, lúcio mauro filho, tonico pereira, marcos oliveira, dira paes, paulo betti, wagner santisteban, keli freitas, gillray coutinho, celso bernini, rui resende"
28,tt0990376,sarah landon and the paranormal hour,sarah landon and the paranormal hour,2007,19/10/2007,"family, horror, mystery",81,usa,english,lisa comrie,"john comrie, john comrie",sunset creek productions,"kurt braun, triston coleman, brian comrie, dan comrie, rick comrie, alessandra daniele, nicole des coteaux, patricia dimeo, sylvia enrique, joe momma ernst, ronda ernst, michael a. evans, geof gibson, kevin guild, rusty hanes",a 17-year-old girl has mysterious encounters with paranormal activity in the small town of pine valley.,3.7,649,,$ 858415,$ 858415,30,19,19,,"kurt braun, triston coleman, brian comrie, dan co","mrie, rick comrie, alessandra daniele, nicole des coteaux, patricia dimeo, sylvia enrique, joe momma ernst, ronda ernst, michael a. evans, geof gibson, kevin guild, rusty hanes"
29,tt0990404,chop shop,chop shop,2007,27/02/2008,drama,84,usa,english,ramin bahrani,"bahareh azimi, ramin bahrani",muskat filmed properties,"alejandro polanco, isamar gonzales, rob sowulski, carlos zapata, ahmad razvi, anthony felton, evelisse 'lilah' ortiz, michael 'gringo' nieto, carlos ayala, laura patalano, nick jasprizza, bedford t. bentley, edwin rojas, roy francisco green, billy klatzis","alejandro, a resourceful street orphan on the verge of adolescence, lives and works in an auto-body repair shop in a sprawling junkyard on the outskirts of queens, new york. in this chaotic world of adults, alejandro struggles to make a better life for himself and his sixteen-year-old sister.",7.3,3898,,$ 125045,$ 222776,83,27,77,,"alejandro polanco, isamar gonzales, rob sowulski, ca","rlos zapata, ahmad razvi, anthony felton, evelisse 'lilah' ortiz, michael 'gringo' nieto, carlos ayala, laura patalano, nick jasprizza, bedford t. bentley, edwin rojas, roy francisco green, billy klatzis"
